CODCOMP_STR,POBLACION
0109047830,19.0
0109047832,3.0
0109047834,31.0
0109047835,83.0
0109047836,58.0
0109047837,40.0
0109047838,62.0
0109047839,41.0
0109047840,64.0
0109047841,49.0
0109047844,24.0
0109047845,199.0
0109047846,203.0
0109047847,136.0
0109047848,136.0
0109048003,1.0
0109048004,0.0
0109048006,0.0
0109048007,0.0
0109048400,0.0
0109048401,0.0
0109048402,0.0
0109048403,0.0
0109048404,0.0
0109048405,0.0
0109048406,0.0
0109048407,0.0
0109048408,0.0
0109048409,0.0
0109048410,0.0
0109048411,0.0
0109048412,0.0
0109048413,0.0
0109048414,0.0
0109048415,0.0
0109048417,0.0
0109048418,0.0
0109048419,0.0
0109048420,0.0
0109048600,43.0
0109048601,5.0
0109048602,9.0
0109048603,0.0
0109048901,0.0
0109049001,0.0
0109050001,37.0
0109050002,35.0
0109050003,27.0
0109050004,10.0
0109050005,2.0
0109050006,33.0
0109050007,0.0
0109050008,3.0
0109050009,19.0
0109050010,8.0
0109051001,95.0
0109051002,44.0
0109051003,3.0
0109051400,0.0
0109051401,0.0
0109051403,0.0
0109051408,0.0
0109051409,0.0
0109051410,0.0
0109051411,0.0
0109051412,0.0
0109051413,0.0
0109051414,0.0
0109051415,0.0
0109051416,0.0
0109051601,36.0
0109051602,19.0
0109052001,40.0
0109052400,0.0
0109052601,5.0
0109052602,0.0
0109052603,72.0
0109052800,9.0
0109053002,81.0
0109053003,103.0
0109053005,42.0
0109053008,51.0
0109053009,19.0
0109053010,7.0
0109053011,4.0
0109053012,16.0
0109053013,72.0
0109053014,47.0
0109053016,4.0
0109053400,0.0
0109053401,0.0
0109053402,0.0
0109053403,0.0
0109053404,0.0
0109053405,0.0
0109053406,0.0
0109053407,0.0
0109053408,0.0
0109053409,0.0
0109053410,0.0
0109053411,0.0
0109053412,0.0
0109053413,0.0
0109053414,0.0
0109053600,0.0
0109053602,192.0
0109053603,0.0
0109054002,45.0
0109054003,88.0
0109055806,57.0
0109055807,27.0
0109055808,68.0
0109056002,6.0
0109056004,22.0
0109056005,16.0
0109056007,45.0
0109056600,0.0
0109058002,0.0
0109058003,74.0
0109058004,16.0
0109058007,45.0
0109058008,165.0
0109058012,0.0
0109058013,13.0
0109058014,246.0
0109058015,0.0
0109058600,225.0
0109058601,4.0
0109058602,0.0
0109058603,19.0
0109059001,6.0
0109059002,86.0
0109059003,110.0
0109059004,260.0
0109059005,14.0
0109059006,0.0
0109059007,0.0
0109059008,3.0
0109059009,77.0
0109059010,2.0
0109060001,0.0
0109060004,0.0
0109060005,2.0
0109060006,0.0
0109060007,0.0
0109060008,11.0
0109060800,0.0
0109061001,20.0
0109061002,47.0
0109061003,46.0
0109061004,12.0
0109117029,105.0
0109117030,430.0
0109117032,53.0
0109117033,140.0
0109117034,6.0
0109117044,61.0
0109117045,237.0
0109117046,4.0
0109117047,80.0
0109117048,488.0
0109117049,126.0
0109117050,89.0
0109117051,30.0
0109117052,72.0
0109117068,55.0
0109117069,56.0
0109117070,66.0
0109117071,0.0
0109117072,150.0
0109117400,0.0
0109117402,0.0
0109117403,0.0
0109117404,0.0
0109117405,0.0
0109117406,0.0
0109117407,0.0
0109117408,0.0
0109117409,0.0
0109117410,0.0
0109117411,0.0
0109117412,0.0
0109117413,0.0
0109117414,0.0
0109117415,0.0
0109117419,0.0
0109117600,26.0
0109117601,48.0
0109117602,61.0
0109117603,71.0
0109117604,68.0
0109117605,62.0
0109117606,4.0
0109117607,41.0
0109117608,34.0
0109117609,24.0
0109117610,7.0
0109117611,0.0
0109117612,138.0
0109117613,130.0
0109117614,60.0
