NOMBRE,DIRECCION,x,y,POBLACION
LA FLORESTA,Treinta y Tres y Argentina,621069.405444479,6152743.62871355,1180.0
LA MUTUALISTA,Rincón 1102,377343.732510461,6335071.19932305,6021.0
LA PASTORA,Av. Francia y Ansina,688434.133758467,6130169.07015236,2663.0
LA PEDRERA,Pitanga c/ Avda. Principal,763455.1405184,6168531.66180345,320.0
LA ROTONDA,Julio César González Moreno 203,422725.340058933,6187132.04022462,7598.0
LA RUTA,Villa Ansina,645372.731155941,6471947.47591072,2957.0
LAS CAÑAS,18 de Julio 1643,378220.618552297,6334444.24966354,14941.0
LAS DELICIAS,Av. España P. 27 A (límite Maldonado),685600.909198655,6134558.49293628,8124.0
LIBERFARMA,Rivas Costas 1071,534727.205693352,6167113.80922383,8946.0
LICANDRO,César Ortiz y Ayala 151 e/ Dr.Ferreira,596083.982827817,6490747.69054696,18923.0
