CODCOMP,DPTO,NOMDPTO,NOMLOC,P_TOT,CODLOC
"0106202014","01",MONTEVIDEO,MONTEVIDEO,"237","01020"
"0106202015","01",MONTEVIDEO,MONTEVIDEO,"168","01020"
"0106203004","01",MONTEVIDEO,MONTEVIDEO,"79","01020"
"0106203005","01",MONTEVIDEO,MONTEVIDEO,"163","01020"
"0106203008","01",MONTEVIDEO,MONTEVIDEO,"258","01020"
"0106203009","01",MONTEVIDEO,MONTEVIDEO,"229","01020"
"0106203012","01",MONTEVIDEO,MONTEVIDEO,"85","01020"
"0106203013","01",MONTEVIDEO,MONTEVIDEO,"124","01020"
"0106204002","01",MONTEVIDEO,MONTEVIDEO,"338","01020"
"0106204003","01",MONTEVIDEO,MONTEVIDEO,"198","01020"
"0106204004","01",MONTEVIDEO,MONTEVIDEO,"139","01020"
"0106204006","01",MONTEVIDEO,MONTEVIDEO,"225","01020"
"0106204008","01",MONTEVIDEO,MONTEVIDEO,"202","01020"
"0106304007","01",MONTEVIDEO,MONTEVIDEO,"154","01020"
"0106304011","01",MONTEVIDEO,MONTEVIDEO,"330","01020"
"0106304012","01",MONTEVIDEO,MONTEVIDEO,"408","01020"
"0107001001","01",MONTEVIDEO,MONTEVIDEO,"103","01020"
"0107001002","01",MONTEVIDEO,MONTEVIDEO,"201","01020"
"0107001003","01",MONTEVIDEO,MONTEVIDEO,"113","01020"
